Project_Description,Budget,Website,GitHub Url,Twitter Url
,$7,https://github.com/KELiON/cerebro,,
"The standalone app based on official debugger of React Native, and includes React Inspector / Redux DevTools.",$80,https://github.com/jhen0409/react-native-debugger,,
,$145,https://github.com/cult-of-coders/grapher,,
,$255,https://github.com/ddobrev/QtSharp,,
,$26,https://github.com/securingsincity/react-ace,,
,$19,https://github.com/prescottprue/react-redux-firebase,,
Incoming webhook server to execute shell commands,$20,https://github.com/adnanh/webhook,,
Project Hoverboard is the next generation conference website template.,$62,https://github.com/gdg-x/hoverboard,,
,$62,,,
The most epic theme for Visual Studio Code,$145,https://equinsuocha.io/projects/material-theme/,,https://twitter.com/equinusocio
"ensemble, aidons les listes citoyennes",€61,https://listescitoyennes.be/,,
"We offer a space and artistic material to refugees artists, so they can practice their art again.",€0,http://refugeesgottalent.com/,,
Fast pure JS implementation of XML parser,$65,https://github.com/NaturalIntelligence/fast-xml-parser,,https://twitter.com/amitguptagwl
Extensions for NServiceBus,$99,https://github.com/NServiceBusExtensions/Home,https://github.com/NServiceBusExtensions,
Manages all .resx based resources,$59,https://github.com/tom-englert/ResXResourceManager,https://github.com/tom-englert/ResXResourceManager,
Feature Flags for the Java platform,$24,https://github.com/togglz/togglz,,
We are creating a community of women makers.,$8,https://societyofladymakers.com/,,https://twitter.com/socofladymakers
,$97,https://github.com/gliderlabs/ssh,,
Catel is an application development platform with the focus on MVVM,$185,https://www.catelproject.com/,https://github.com/catel/catel,https://twitter.com/CatelProject
,$55,https://github.com/reactabular/reactabular,,
"Improve your Drupal SEO: this module helps you optimize content around keywords in a fast, natural, non-spam way.",$27,http://www.drupal.org/project/yoast_seo,,https://twitter.com/goalgorilla
For more diversity & inclusion in free & open source software communities 😊,$170,https://opensourcediversity.org/,https://github.com/opensourcediversity,https://twitter.com/osdiversity
Bioinformatics and Computational Biology in Julia,$145,http://biojulia.net/,,
Co-creating the City of our Dreams,€0,http://meetup.com/Reinventing-Brussels,,
Connect curious minds with the best sources of insights.,€0,,,
,$51,https://github.com/pixelfed/pixelfed,,
,$58,https://github.com/wenzhixin/bootstrap-table,,
We are in a mission to introduce the power of Open Source to accounting world.,$144,https://github.com/akaunting/akaunting,,https://twitter.com/akaunting
Wikipedia for web APIs.,$47,https://github.com/APIs-guru/openapi-directory,,https://twitter.com/PermittedSoc
Auditing library for .NET,$47,https://github.com/thepirat000/Audit.NET,,https://twitter.com/thepirat000
A powerful UI toolkit for managing JavaScript apps,$47,https://github.com/kitze/JSUI,,https://twitter.com/jsui_app
"Anchor is a super-simple, lightweight blog system, made to let you just write.",$47,https://anchorcms.com/,,https://twitter.com/anchorcms
"Plateforme citoyenne de soutien de l’environnement, de l’inclusion et de la cohésion sociale à Ixelles Nord.,",€47,,,
"A small, friendly group of aspiring programmers",A$46,https://www.facebook.com/groups/free.code.camp.perth/,,https://twitter.com/perthfreecodec1
"Stateless open source password manager, multi-platform. It does not require synchronization.",$38,,https://github.com/lesspass/lesspass/,
Une association qui à pour but de sensibiliser les gens sur notre consommation et le fléau des déchets,€146,https://www.facebook.com/projetCleanWalker/,,
"A high-performance, feature-packed library for all your mapping needs.",$45,https://github.com/openlayers/openlayers,https://github.com/openlayers,https://twitter.com/openlayers
An Android password manager that uses GPG for encrypting passwords,$88,https://github.com/zeapo/Android-Password-Store,,
Ours is a community trust that owns a former bowling club and is now embarking on landscaping works with the wider precinct community,$43,http://www.vogelmorn.nz/,,
Copy/paste detector.,$43,https://github.com/kucherenko/jscpd,https://github.com/kucherenko/jscpd,
"Edge Collective promotes technological sovereignty for communities living at ‘the edge’, including vulnerable cities, rural townships, farming communities, and islands.",$43,http://edgecollective.io/,https://github.com/edgecollective,
,$43,https://github.com/vbauer/android-arsenal.com,,
A simple and easy-to-use pie-chart view for Android,$43,https://github.com/razerdp/AnimatedPieView,https://github.com/razerdp/AnimatedPieView,
,$0,https://twitter.com/NYCReact,,https://twitter.com/NYCReact
"JavaScript User Group in Madison, WI",$43,http://www.meetup.com/MadisonJS,,https://twitter.com/MadJavaScript
Excalibur is a free and open source web interface to extract tabular data from PDFs in a scalable manner.,$43,https://www.tryexcalibur.com/,https://github.com/camelot-dev/excalibur,https://twitter.com/vortex_ape
,$43,,,
,$26,https://github.com/Strider-CD/strider,,
,$0,https://github.com/seyhunak/twitter-bootstrap-rails,,
Simple commit conventions for internet citizens.,$42,http://commitizen.github.io/cz-cli/,,https://twitter.com/commitizen
,$96,https://github.com/dooboolab/react-native-iap,,
A nonprofit association representing the international community of foreign citizens living and working in Brussels,€38,,,
Meetups para el empoderamiento digital,$186,http://www.infusionvlc.com/,,https://twitter.com/infusionvlc
Open-Source Admin Dashboard theme built in a modular way!,$38,http://github.com/modularcode/modular-admin-html,,https://twitter.com/ModularCoder
"Citizens' permaculture garden, oasis of biodiversity in transforma bxl, Evere",€39,https://www.transformabxl.be/,,
Culture Numérique et Entrepreneuriale,€33,,,
"We are a loosely federated group of software and web developers in Upstate South Carolina who meet semi-regularly to discuss and hack on problems. Typically, we solve problems using open standards, open source, and open APIs.",$0,http://www.openupstate.org/,,https://twitter.com/openupstate
A task runner / simpler Make alternative written in Go,$36,https://taskfile.org/,https://github.com/go-task/task,
A browser extension for the decentralized web.,$48,http://metamask.io/,,
,$14,http://algo-visualizer.jasonpark.me/,,
Popmotion is a collection of simple libraries to make delightfully animated user interfaces.,$309,https://popmotion.io/,,https://twitter.com/popmotionjs
SimpleSchema: A JavaScript schema validation package that supports direct validation of MongoDB update modifier objects,$34,https://github.com/aldeed/simple-schema-js,,
Plastic-Free Plux strives to reduce single-use plastics at the famous Place du Luxembourg in front of the European Parliament in Brussels. We are introducing reusable cups with a deposit-return scheme.,€33,https://www.facebook.com/pg/plasticfreeplux/,,https://twitter.com/plasticfreeplux
Toolkit for generating complex GraphQL schemas in Node.js,$65,https://graphql-compose.github.io/,,https://twitter.com/nodkz
Cezerin is React and Node.js based eCommerce platform.,$48,https://github.com/cezerin/cezerin,,https://twitter.com/cezerin
Open Source ERP and CRM suite for business,$48,https://github.com/Dolibarr/dolibarr,,https://twitter.com/Dolibarr
The NetSquared Chicago Meetup helps nonprofits better use technology,$101,,,
Material design components for vue,$50,https://vuetifyjs.com/,,https://twitter.com/vuetifyjs
,€12,https://mastodon.brussels/,,
A lightweight framework to sync Realm Database with CloudKit,$30,https://github.com/caiyue1993/IceCream,,
"We are building a platform to let you create an association and collect money for it online, without having to create a legal entity",$0,https://opencollective.com/,,https://twitter.com/opencollect
,$34,https://github.com/radiant-player/radiant-player-mac,,
Distributed bug tracker embedded in Git,$60,https://github.com/MichaelMure/git-bug,,
,$0,https://github.com/Pryaxis/TShock,,
"HIVE is a community that gathers all actors of the Blockchain landscape in Belgium, it structures them and creates synergies to initiate actual projects.",€28,http://www.hive.brussels/,,https://twitter.com/HIVE_BS
Custom color schemes for all websites,$27,https://midnight-lizard.org/,https://github.com/Midnight-Lizard,https://twitter.com/MidnightLizard
,$29,https://github.com/asciimoo/searx,,
,€0,,,
,$17,https://github.com/matthewgonzalez/fontplop,,
,$0,https://github.com/EragonJ/Kaku,,
Full featured HTML framework for building iOS & Android apps,$100,https://framework7.io/,https://github.com/framework7io/framework7,https://twitter.com/framework7io
Fullstack authentication and accounts-management for Javascript.,$49,http://accounts-js.netlify.com/,,
The ergonomic embedded nosql database for Android and Java,$37,https://github.com/dizitart/nitrite-database,,https://twitter.com/dizitart
Log your digital life without giving up your privacy. Maintained by @ErikBjare and @johan_bjareholt. Get the code: https://t.co/7Z14imnapO,$48,https://github.com/ActivityWatch/activitywatch,,https://twitter.com/ActivityWatchIt
"A self-hosted web radio management suite, including turnkey installer tools and an easy-to-use web app to manage your stations.",$24,http://azuracast.com/,,https://twitter.com/AzuraCast
✍🏻It has never been so easy to document your things!,$52,https://github.com/pedronauck/docz,,
,$34,https://github.com/asciidocfx/AsciidocFX,,
The next web scraper. See through the <html> noise,$19,https://github.com/lapwinglabs/x-ray,,
"Volt is a pan-European progressive political movement, focused on changing the way politics is done",€22,https://www.volteuropa.org/,,https://twitter.com/VoltEuropa
A data grid for AngularJS; part of the AngularUI suite,$0,http://ui-grid.info/,,
"Hosting for freedom, not for profit!",$66,http://libre.sh/,,
Transparent javascript bundles. One npm package at a time.,$72,https://github.com/pastelsky/bundlephobia,,
,$21,https://github.com/jsonmvc/jsonmvc,,
Make bots in Java,$21,https://github.com/rampatra/jbot,,https://twitter.com/jbotframework
Обход блокировок Рунета,$20,http://github.com/anticensority/runet-censorship-bypass,,
,$49,https://github.com/digiaonline/graphql-php,,
Sous-Chefs are a group of like minded Chef practitioners creating high quality Chef Cookbooks,$101,https://github.com/sous-chefs/,,https://twitter.com/souschefsorg
H/F es la red de emprendimiento tecnológico más grande del mundo. Nos reunimos mensualmente para crear valor. ¡Únete!,$20,https://www.hf.cx/,,
,$48,https://github.com/SmingHub/Sming,,
,$120,http://github.com/pre-commit/pre-commit,https://github.com/pre-commit,
,$20,https://github.com/crazychicken/t-scroll,,
"Wow, such a beautiful HTML5 music player",$17,http://github.com/MoePlayer/APlayer,,https://twitter.com/DIYgod
,$13,https://github.com/colmena/colmena-cms,,
"We are on a mission to build a truly open, rigorous and transparent science owned by citizens",€103,http://community.cobaye.io/,,
,$17,https://github.com/akiran/react-slick,,
Get anonymous feedback & tips from the communities you want,,https://tipbox.is/,,https://twitter.com/gettipbox
Support Iris today.,$17,http://github.com/kataras/iris,,https://twitter.com/MakisMaropoulos
,$17,http://invoiceplane.com/,,https://twitter.com/InvoicePlane
"A global community exploring technology as a catalyst for psychological, emotional and spiritual flourishing.",$0,http://www.meetup.com/Consciousness-Hacking-Silicon-Valley/,,https://twitter.com/consciousnesshack
,$100,https://github.com/docToolchain/docToolchain,,https://twitter.com/docToolchain
Hexworks is a friendly bunch of developers and artists who focus on providing open source tools for (but not only) game developers.,$16,http://github.com/Hexworks,,https://twitter.com/_hexworks
"A readable, automated, and optimized (5 kb) internationalization for JavaScript",$48,https://github.com/lingui/js-lingui,,
,$16,https://github.com/sandeepmistry/arduino-nRF5,,
,$17,https://github.com/twolfson/sexy-bash-prompt,,
Remove unused css,$25,https://github.com/FullHuman/purgecss,,https://twitter.com/Full_Human_
Street Art collective focused on empowering and connecting street artists in Latin America and Europe.,€13,http://www.strawberrystreets.com/,,
Fast and concurrent JavaScript test runner with simple test syntax and Babel built-in.,$8,https://ava.li/,,https://twitter.com/ava__js
"Sleek, intuitive, and powerful front-end framework for faster and easier web development.",$57,https://getbootstrap.com/,https://github.com/twbs,https://twitter.com/getbootstrap
A better way to operate quick response code in Swift.,$0,https://github.com/EyreFree/EFQRCode,,https://twitter.com/EFQRCode
The Bare-Metal Python Web Framework,$49,https://falconframework.org/,https://github.com/falconry/falcon,
Real Time Bidding (RTB),$48,https://github.com/venediktov/vanilla-rtb,,https://twitter.com/vanilla_rtb
"Pact is the industry standard, cross-language collaboration framework that enforces contracts between a consumer and a provider of data.",$17,http://pact.io/,,https://twitter.com/pact_up
Koin is a pragmatic lightweight dependency injection framework for Kotlin developers.,$25,http://insert-koin.io/,,https://twitter.com/insertkoin_io
"Record your test suite's HTTP interactions and replay them during future test runs for fast, deterministic, accurate tests.",$0,https://github.com/vcr/vcr,,
,$10,https://francais-a-londres.org/,,
Dotnet distributed crawler framework,$19,https://github.com/zhupingqi/RuiJi.Net,,https://twitter.com/zhupingqi
"An online network that starts, grows and connects social movements",$9,http://www.gridt.org/,,
Collectif pour soutenir les commoners et le mouvement des communs,€9,http://remixthecommons.org/,,
,€9,,,
,£9,http://psychedelicsociety.org.uk/,,https://twitter.com/psychedelicsuk
A computer programming fellowship for the next generation of social entrepreneurs!,$8,http://www.theimpactfellowship.com/,,
Open Solutions to Local Challenges,$8,http://sarapis.org/,,https://twitter.com/sarapisorg
,$0,,,
An opinionated catalog of open source JavaScript packages.,$0,https://github.com/jscoach/support,,https://twitter.com/_jscoach
pure Kotlin mocking library,$8,https://mockk.io/,,https://twitter.com/oleksiyp
"We offer co-working, dinners, meditation classes, and a general space to feel and be whole.",$0,http://balanced.nyc/,,
"Create badass, fluid and smooth transition between your website's pages.",$0,https://github.com/luruke/barba.js,,
,$8,https://github.com/3lvis/Sync,,
,$0,https://github.com/lc-soft/LCUI,,
Prolyfill for CSS Container Queries,$8,http://github.com/ausi/cq-prolyfill,,https://twitter.com/ausi
,$8,https://styled-icons.js.org/,https://github.com/jacobwgillespie/styled-icons,
"A .NET library for reading and writing CSV files. Extremely fast, flexible, and easy to use. Supports reading and writing of custom class objects.",$100,https://github.com/JoshClose/CsvHelper,https://github.com/JoshClose/CsvHelper,https://twitter.com/joshclose
"The Swagger/OpenAPI toolchain for .NET, Web API and TypeScript.",$8,https://github.com/RSuter/NSwag,https://github.com/RSuter/NSwag,https://twitter.com/RicoSuter
,$0,https://github.com/coderaiser/cloudcmd,,
"We are a collective of artists, activists and entrepreneurs, mostly based in Madagascar, with some based in Europe.",$97,http://www.nyloharanofoundation.org/,,
We build the most easy to use extension for Google Chrome. Downloaded by millions of users.,$8,https://1ce.org/,,https://twitter.com/1ce_org
"A communal garden in Diamond Creek, VIC, Australia.",$29,https://thrivecommunitygarden.org/,,
"Wow, such a lovely HTML5 danmaku video player",$17,http://github.com/MoePlayer/DPlayer,,https://twitter.com/DIYgod
,$17,https://github.com/svermeulen/Zenject,,
,$51,https://github.com/cheton,,https://twitter.com/cheton
We strive to take Vietnam into the 21st century global economy.,€0,http://www.officience.com/,,https://twitter.com/OffyVN
Learn anything in one month alongside your day job,$24,https://learn.uno/,,
,$6,https://github.com/KyleAMathews/typography.js,,
,$0,https://github.com/mattapperson/docker.io,,
,$0,https://github.com/axboot/ax-boot-framework,,
This is the big change for those who wanted to be employed,CA$5,,,
,,,,
,,,,
,,,,
,,,,
,,,,
