Project_Description,Budget,Website,GitHub Url,Twitter Url
"The ADUG is a gathering of Drupal users in the Austin, Texas area.","$5,888",https://www.meetup.com/Austin-Drupal-Users-Group/,,https://twitter.com/DrupalATX
The leading ODM for Node.js and MongoDB,"$10,598",http://mongoosejs.com/,,https://twitter.com/mongoosejs
WWCode is a non-profit organization that inspires women to excel in technology careers.,"$3,873",https://www.womenwhocode.com/dc,,https://twitter.com/wwcodedc
WordPress starter theme with a modern development workflow,"$5,698",https://roots.io/,,https://twitter.com/rootswp
WWCode is a global non-profit organization that inspires women to excel in technology careers.,"$5,693",,,
,,,,
Easy to Maintain Open Source Documentation Websites,"$11,258",https://docusaurus.io/,,https://twitter.com/docusaurus
An online editor tailored for web application development,"$6,416",https://github.com/CompuIves/codesandbox-client,,https://twitter.com/codesandboxapp
"D is a general-purpose programming language with static typing, systems-level access, and C-like syntax.","$6,117",http://dlang.org/,,https://twitter.com/D_Programming
Building a bridge between formats,"$27,422",http://unified.js.org/,https://github.com/unifiedjs/unified,https://twitter.com/unifiedjs
Botkit is the most popular open source framework for building bots,"$5,985",https://www.botkit.ai/,,https://twitter.com/botkitstudio
,"$4,036",https://github.com/clojure-emacs/cider,,
Spread a new message in the (old/new) media about taking action as citizens instead of trying to fix old institutions.,"€5,118",http://brusselstogether.org/,,https://twitter.com/brutogether
"WeBrussels brings a new model of democracy to Brussels - making it as easy as possible for any citizen to put forward their ideas, concerns and proposals, have them collectively discussed and empowered through participation in formal city elections.","€5,174",http://www.webrussels.org/,,https://twitter.com/gcgserodio
,"$5,296",https://github.com/rspec/rspec,,
A toolkit for creating data-driven stories and explorable explanations.,"$4,872",https://idyll-lang.org/,https://github.com/idyll-lang,https://twitter.com/idyll_lang
Creating modular server side software with Swift.,"$3,210",http://vapor.codes/,,https://twitter.com/codevapor
"ORM for TypeScript and JavaScript (ES7, ES6, ES5). Supports MySQL, PostgreSQL, MariaDB, SQLite, MS SQL Server, Oracle, WebSQL databases. Works in NodeJS, Browser, Ionic, Cordova and Electron platforms.","$7,442",http://typeorm.io/,https://github.com/typeorm/typeorm,https://twitter.com/typeormjs
,"$10,910",https://github.com/socketio/socket.io,,
Fablab sonore au service des acteurs culturels bruxellois,"€4,616",https://makeitsound.be/,,
Making the arts a vital part of young people's lives.,"$1,197",http://artandfilm.org/,,
cute little browser framework that makes functional architectures fun,"$1,645",https://github.com/choojs/choo,,
HTTP mocking and expectations library for Node.js,"$4,593",https://github.com/node-nock/nock,,https://twitter.com/nodenock
A JavaScript / Python / PHP library for cryptocurrency trading and e-commerce with support for many bitcoin/ether/altcoin exchange markets and merchant APIs.,"$8,836",http://ccxt.trade/,,
"📦🚀 Blazing fast, zero configuration web application bundler","$6,376",http://parceljs.org/,,https://twitter.com/parceljs
,"$4,500",https://github.com/MikeMcl/big.js,,
Full Stack Web Dev & Cloud Engineer @mindeskvr. Tech and videogame enthusiast. Inspired by minimalist design.,"$4,500",https://github.com/foxhound87/mobx-react-form,,https://twitter.com/foxhound87
Minimal AWS Lambda function manager with Go support.,"$1,748",http://apex.run/,,
"Leveling up the data science community and bringing you high quality DS workshops, panels and lightning talks since 2012.",$0,,,
An interview series featuring the builders of developer products.,$255,https://betweenthewires.org/,,https://twitter.com/betweenthewires
WWCode is a global non-profit organization that inspires women to excel in technology careers.,"$4,264",,,
,"$4,896",http://nerves-project.org/,,https://twitter.com/nervesproject
,"€3,250",,,
Learn software development collaboratively.,MX$0,http://softcraft.mx/,,https://twitter.com/solojavier
Tech superheroes using our powers for good.,"$1,015",https://ragtag.org/,,https://twitter.com/ragtag_team
,"$2,919",https://github.com/zodern/meteor-up,,
WWCode is a global non-profit organization that inspires women to excel in technology careers.,"€2,438",https://twitter.com/wwcodeberlin,,https://twitter.com/wwcodeberlin
The modern and fast open source flat-file CMS,"$2,604",https://getgrav.org/,https://github.com/getgrav,https://twitter.com/getgrav
#ZeroKnowledge; Realtime Collaboration; XWiki Labs; ✊❤,"€4,259",https://github.com/xwiki-labs/cryptpad,,https://twitter.com/cryptpad
Create PDF files using React,"$6,869",https://github.com/diegomura/react-pdf,,
A complete backend for web applications.,$628,http://hood.ie/,,https://twitter.com/hoodiehq
,"$2,461",https://indieweb.org/,,https://twitter.com/indiewebcamp
,"$2,066",http://github.com/apex/up,,
Nos dedicamos a inspirar inspirar a más mujeres a ser parte y destacar en carreras del mundo tecnológico.,"MX$2,643",http://www.meetup.com/Women-Who-Code-Mexico-City/,,https://twitter.com/wwcodedf
The Sound Doctors repair audio material anywhere in Brussels.,"€3,752",https://makeitsound.be/,,
"We bring together music lovers, artists, makers and cyclists in Brussels and make durable mobile sound systems to facilitate the distribution of music in the city.","€3,158",http://lajacqueline.be/,,
WWCode is a global non-profit organization that inspires women to excel in technology careers.,"£1,813",https://twitter.com/wwclondon,,https://twitter.com/wwclondon
"The .NET MVVM framework for cross-platform solutions, including Xamarin.iOS, Xamarin.Android, Windows and Mac.","$2,643",https://github.com/MvvmCross/MvvmCross,,https://twitter.com/MvvmCross
"Trusted digital governance for small communities, corporations, large cities & whole nations.","$1,833",http://democracy.earth/,,https://twitter.com/DemocracyEarth
,"$3,561",https://github.com/duplicati/duplicati,,
,"$3,531",,,
Belgian cryptocurrency movement,"€3,528",http://www.befranck.be/,,https://twitter.com/befrankbfr
WWCode is a non-profit organization that inspires women to excel in technology careers.,"$2,591",http://www.meetup.com/Women-Who-Code-SF,,https://twitter.com/wwcodesf
,"$2,991",,,
,"$2,150",https://github.com/SixLabors/ImageSharp,,https://twitter.com/sixlabors
WWCode is a global non-profit organization that inspires women to excel in technology careers.,"$3,446",https://www.womenwhocode.com/boston,,https://twitter.com/wwcboston
WWCode is a non-profit organization that inspires women to excel in technology careers.,"$2,737",https://twitter.com/wwcodebd,,https://twitter.com/wwcodebd
