Project Name,No of Backers,Project Link
Mark Text,€0,https://opencollective.com/marktext
Wiki.js,2,https://opencollective.com/wikijs
Boston Code Camp,15,https://opencollective.com/bostoncodecamp
JSOxford,$170,https://opencollective.com/jsoxford
hyperHTML,13,https://opencollective.com/hyperhtml
faker.js,2,https://opencollective.com/fakerjs
Gentlewomen’s Club Brussels,A$560,https://opencollective.com/gwc-brussels
The Impact Fellowhip,13,https://opencollective.com/impactfellowship
Osmocom,$948,https://opencollective.com/osmocom
OpenCollective Paris,28,https://opencollective.com/opencollectiveparis
OpenEMR,$450,https://opencollective.com/openemr
WWCode Edinburgh,6,https://opencollective.com/wwcodeedinburgh
poi,1,https://opencollective.com/poi
MakersGDL,1,https://opencollective.com/makersgdl
JSS,A$540,https://opencollective.com/jss
Chai,6,https://opencollective.com/chaijs
Avalonia,8,https://opencollective.com/avalonia
Simply Secure's Underexposed,9,https://opencollective.com/underexposed
html-webpack-plugin,2,https://opencollective.com/html-webpack-plugin
ORY,$990,https://opencollective.com/ory
Women Who Code Richmond,6,https://opencollective.com/wwcoderichmond
Readline,$155,https://opencollective.com/readline
acgn-stock,25,https://opencollective.com/acgn-stock
GraphQL Shield,18,https://opencollective.com/graphql-shield
Thessaloniki Java Meetup,5,https://opencollective.com/skgjug
Tessel,1,https://opencollective.com/tessel
Open Collective UK,$943,https://opencollective.com/uk-collective
ax5ui,3,https://opencollective.com/ax5ui-kernel
Fisk-Vanderbilt Bridge Alumni Network,14,https://opencollective.com/fvbran
xstate,1,https://opencollective.com/xstate
Pony,$921,https://opencollective.com/ponyc
WWCode Chennai,2,https://opencollective.com/wwcodechennai
Publii,£942,https://opencollective.com/publii
SVGR,13,https://opencollective.com/svgr
LWJGL,10,https://opencollective.com/lwjgl
gobuster,$758,https://opencollective.com/gobuster
fuse-box,2,https://opencollective.com/fuse-box
react-native-camera,€886,https://opencollective.com/react-native-camera
WWCode Chicago,2,https://opencollective.com/wwcodechicago
devise_token_auth,$879,https://opencollective.com/devise_token_auth
Manyverse,3,https://opencollective.com/manyverse
AudioKit,4,https://opencollective.com/audiokit
Avogadro,€916,https://opencollective.com/avogadro
cucumber,12,https://opencollective.com/cucumber
Streamlink,$807,https://opencollective.com/streamlink
jsbin,1,https://opencollective.com/jsbin
Michigan Python,£457,https://opencollective.com/michiganpython
Bootstrap-Vue,26,https://opencollective.com/bootstrap-vue
WWCode East Bay,2,https://opencollective.com/wwcodeeastbay
Openwhyd,18,https://opencollective.com/openwhyd
OSCurrency,22,https://opencollective.com/oscurrency
CultureSeed,12,https://opencollective.com/cultureseed
Open Collective,5,https://opencollective.com/opencollective-oss
Citizen-led economic transition.,$892,https://opencollective.com/reconomycop
Analyze Basilicata,2,https://opencollective.com/analyzebasilicata
